Date and Time (UTC),Receiver,Description,Data
2019-05-31 12:45,VR2AR-547109,Temperature,4.6
2019-05-31 12:50,VR2AR-547109,Temperature,4.7
2019-05-31 12:55,VR2AR-547109,Temperature,4.7
2019-05-31 13:04,VR2AR-547109,Temperature,4.7
2019-05-31 13:09,VR2AR-547109,Temperature,4.7
2019-05-31 13:14,VR2AR-547109,Temperature,4.7
2019-05-31 13:19,VR2AR-547109,Temperature,4.7
2019-05-31 13:24,VR2AR-547109,Temperature,4.7
2019-05-31 13:29,VR2AR-547109,Temperature,4.7
2019-05-31 13:34,VR2AR-547109,Temperature,4.7
2019-05-31 13:39,VR2AR-547109,Temperature,4.7
2019-05-31 13:44,VR2AR-547109,Temperature,4.7
2019-05-31 13:49,VR2AR-547109,Temperature,4.7
2019-05-31 13:54,VR2AR-547109,Temperature,4.7
2019-05-31 13:59,VR2AR-547109,Temperature,4.8
2019-05-31 14:03,VR2AR-547109,Temperature,4.7
2019-05-31 14:08,VR2AR-547109,Temperature,4.7
2019-05-31 14:13,VR2AR-547109,Temperature,4.7
2019-05-31 14:18,VR2AR-547109,Temperature,4.7
2019-05-31 14:23,VR2AR-547109,Temperature,4.7
2019-05-31 14:28,VR2AR-547109,Temperature,4.7
2019-05-31 14:33,VR2AR-547109,Temperature,4.7
2019-05-31 14:38,VR2AR-547109,Temperature,4.7
2019-05-31 14:43,VR2AR-547109,Temperature,4.7
2019-05-31 14:48,VR2AR-547109,Temperature,4.7
2019-05-31 14:53,VR2AR-547109,Temperature,4.7
2019-05-31 14:58,VR2AR-547109,Temperature,4.7
2019-05-31 15:02,VR2AR-547109,Temperature,4.7
2019-05-31 15:07,VR2AR-547109,Temperature,4.7
2019-05-31 15:12,VR2AR-547109,Temperature,4.7
2019-05-31 15:17,VR2AR-547109,Temperature,4.7
2019-05-31 15:22,VR2AR-547109,Temperature,4.7
2019-05-31 15:27,VR2AR-547109,Temperature,4.7
2019-05-31 15:32,VR2AR-547109,Temperature,4.8
2019-05-31 15:37,VR2AR-547109,Temperature,4.8
2019-05-31 15:42,VR2AR-547109,Temperature,4.8
2019-05-31 15:47,VR2AR-547109,Temperature,4.8
2019-05-31 15:52,VR2AR-547109,Temperature,4.8
2019-05-31 15:57,VR2AR-547109,Temperature,4.8
2019-05-31 16:01,VR2AR-547109,Temperature,4.8
2019-05-31 16:06,VR2AR-547109,Temperature,4.8
2019-05-31 16:11,VR2AR-547109,Temperature,4.8
2019-05-31 16:16,VR2AR-547109,Temperature,4.8
2019-05-31 16:21,VR2AR-547109,Temperature,4.8
2019-05-31 16:26,VR2AR-547109,Temperature,4.8
2019-05-31 16:31,VR2AR-547109,Temperature,4.8
2019-05-31 16:36,VR2AR-547109,Temperature,4.8
2019-05-31 16:41,VR2AR-547109,Temperature,4.8
2019-05-31 16:46,VR2AR-547109,Temperature,4.8
2019-05-31 16:51,VR2AR-547109,Temperature,4.8
2019-05-31 16:56,VR2AR-547109,Temperature,4.8
2019-05-31 17:05,VR2AR-547109,Temperature,4.8
2019-05-31 17:10,VR2AR-547109,Temperature,4.8
2019-05-31 17:15,VR2AR-547109,Temperature,4.7
2019-05-31 17:20,VR2AR-547109,Temperature,4.7
2019-05-31 17:25,VR2AR-547109,Temperature,4.7
2019-05-31 17:30,VR2AR-547109,Temperature,4.7
2019-05-31 17:35,VR2AR-547109,Temperature,4.7
2019-05-31 17:40,VR2AR-547109,Temperature,4.7
2019-05-31 17:45,VR2AR-547109,Temperature,4.7
2019-05-31 17:50,VR2AR-547109,Temperature,4.7
2019-05-31 17:55,VR2AR-547109,Temperature,4.7
2019-05-31 18:04,VR2AR-547109,Temperature,4.7
2019-05-31 18:09,VR2AR-547109,Temperature,4.7
2019-05-31 18:14,VR2AR-547109,Temperature,4.6
